,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Inyibiba,Eastern Cape,,,Bhekithemba,,,Bhekithemba,Kwazulu/Natal,,,,,,,,,,,,,,,,,ESTCOURT CC,KWAZULU/NATAL,,Kuruman Cc,,,,,,,,,,,ESTCOURT CC,KWAZULU/NATAL,,,,,,,,,,Kwazulu/Natal,Umlazi Cc,Bhekithemba,,Kwazulu/Natal,Umlazi Cc,Bhekithemba
,Jamestown,Eastern Cape,,,Bhisho,,,Bhisho,Eastern Cape,,,,,,,,,,,,,,,,,GREYTOWN CC,KWAZULU/NATAL,,Kwadukuza Cc,,,,,,,,,,,GREYTOWN CC,KWAZULU/NATAL,,,,,,,,,,Eastern Cape,King William'S T Cc,Bhisho,,Eastern Cape,King William'S T Cc,Bhisho
,Jansenville,Eastern Cape,,,Bholo,,,Bholo,Eastern Cape,,,,,,,,,,,,,,,,,HOWICK CC,KWAZULU/NATAL,,Kwamhlanga Cc,,,,,,,,,,,HOWICK CC,KWAZULU/NATAL,,,,,,,,,,Eastern Cape,King William'S T Cc,Bholo,,Eastern Cape,King William'S T Cc,Bholo
,Jeffreys Bay,Eastern Cape,,,Bholothwa,,,Bholothwa,Eastern Cape,,,,,,,,,,,,,,,,,INANDA CC,KWAZULU/NATAL,,Kwamsane Cc,,,,,,,,,,,INANDA CC,KWAZULU/NATAL,,,,,,,,,,Eastern Cape,Cofimvaba Cc,Bholothwa,,Eastern Cape,Cofimvaba Cc,Bholothwa
,Joubertina,Eastern Cape,,,Biesiesvlei,,,Biesiesvlei,North West,,,,,,,,,,,,,,,,,JOZINI CC,KWAZULU/NATAL,,Kwazulu-Natal: Ports Of Entry: Air,,,,,,,,,,,JOZINI CC,KWAZULU/NATAL,,,,,,,,,,North West,Lichtenburg Cc,Biesiesvlei,,North West,Lichtenburg Cc,Biesiesvlei
,Joza,Eastern Cape,,,Bishop Lavis,,,Bishop Lavis,Western Cape,,,,,,,,,,,,,,,,,KOKSTAD CC,KWAZULU/NATAL,,Kwazulu-Natal: Ports Of Entry: Sea,,,,,,,,,,,KOKSTAD CC,KWAZULU/NATAL,,,,,,,,,,Western Cape,Bishop Lavis Cc,Bishop Lavis,,Western Cape,Bishop Lavis Cc,Bishop Lavis
,Kabega Park,Eastern Cape,,,Bishopstowe,,,Bishopstowe,Kwazulu/Natal,,,,,,,,,,,,,,,,,KWADUKUZA CC,KWAZULU/NATAL,,Ladybrand Cc,,,,,,,,,,,KWADUKUZA CC,KWAZULU/NATAL,,,,,,,,,,Kwazulu/Natal,Pietermaritzburg Cc,Bishopstowe,,Kwazulu/Natal,Pietermaritzburg Cc,Bishopstowe
,Kamesh,Eastern Cape,,,Bityi,,,Bityi,Eastern Cape,,,,,,,,,,,,,,,,,KWAMSANE CC,KWAZULU/NATAL,,Ladysmith Cc,,,,,,,,,,,KWAMSANE CC,KWAZULU/NATAL,,,,,,,,,,Eastern Cape,Mthatha Cc,Bityi,,Eastern Cape,Mthatha Cc,Bityi
,Kareedouw,Eastern Cape,,,Blinkpan,,,Blinkpan,Mpumalanga,,,,,,,,,,,,,,,,,KWAZULU-NATAL: PORTS OF ENTRY: AIR,KWAZULU/NATAL,,Lebowakgomo Cc,,,,,,,,,,,KWAZULU-NATAL: PORTS OF ENTRY: AIR,KWAZULU/NATAL,,,,,,,,,,Mpumalanga,Middelburg Cc,Blinkpan,,Mpumalanga,Middelburg Cc,Blinkpan
,Katkop,Eastern Cape,,,Bloemhof,,,Bloemhof,North West,,,,,,,,,,,,,,,,,KWAZULU-NATAL: PORTS OF ENTRY: SEA,KWAZULU/NATAL,,Lephalale Cc,,,,,,,,,,,KWAZULU-NATAL: PORTS OF ENTRY: SEA,KWAZULU/NATAL,,,,,,,,,,North West,Wolmaransstad Cc,Bloemhof,,North West,Wolmaransstad Cc,Bloemhof
,Kei Bridge,Eastern Cape,,,Bloemspruit,,,Bloemspruit,Free State,,,,,,,,,,,,,,,,,LADYSMITH CC,KWAZULU/NATAL,,Lichtenburg Cc,,,,,,,,,,,LADYSMITH CC,KWAZULU/NATAL,,,,,,,,,,Free State,Mangaung Cc,Bloemspruit,,Free State,Mangaung Cc,Bloemspruit
,Kei Mouth,Eastern Cape,,,Bluewater,,,Bluewater,Eastern Cape,,,,,,,,,,,,,,,,,MARGATE CC,KWAZULU/NATAL,,Lydenburg Cc,,,,,,,,,,,MARGATE CC,KWAZULU/NATAL,,,,,,,,,,Eastern Cape,Mdantsane Cc,Bluewater,,Eastern Cape,Mdantsane Cc,Bluewater
,Kei Road,Eastern Cape,,,Boetsap,,,Boetsap,Northern Cape,,,,,,,,,,,,,,,,,NEWCASTLE CC,KWAZULU/NATAL,,Mafube Cc,,,,,,,,,,,NEWCASTLE CC,KWAZULU/NATAL,,,,,,,,,,Northern Cape,Galeshewe Cc,Boetsap,,Northern Cape,Galeshewe Cc,Boetsap
,Keiskammahoek,Eastern Cape,,,Boipatong,,,Boipatong,Gauteng,,,,,,,,,,,,,,,,,PHOENIX CC,KWAZULU/NATAL,,Mahikeng Cc,,,,,,,,,,,PHOENIX CC,KWAZULU/NATAL,,,,,,,,,,Gauteng,Sebokeng Cc,Boipatong,,Gauteng,Sebokeng Cc,Boipatong
,Kenton On Sea,Eastern Cape,,,Boitekong,,,Boitekong,North West,,,,,,,,,,,,,,,,,PIETERMARITZBURG CC,KWAZULU/NATAL,,Mahwelereng Cc,,,,,,,,,,,PIETERMARITZBURG CC,KWAZULU/NATAL,,,,,,,,,,North West,Rustenburg Cc,Boitekong,,North West,Rustenburg Cc,Boitekong
,Khubusidrift,Eastern Cape,,,Boithuso,,,Boithuso,Free State,,,,,,,,,,,,,,,,,PINETOWN CC,KWAZULU/NATAL,,Makhado Cc,,,,,,,,,,,PINETOWN CC,KWAZULU/NATAL,,,,,,,,,,Free State,Selosesha Cc,Boithuso,,Free State,Selosesha Cc,Boithuso
,Kidds Beach,Eastern Cape,,,Boksburg,,,Boksburg,Gauteng,,,,,,,,,,,,,,,,,PLESSISLAER CC,KWAZULU/NATAL,,Mamelodi Cc,,,,,,,,,,,PLESSISLAER CC,KWAZULU/NATAL,,,,,,,,,,Gauteng,Brakpan Cc,Boksburg,,Gauteng,Brakpan Cc,Boksburg
,King William'S Town,Eastern Cape,,,Boksburg North,,,Boksburg North,Gauteng,,,,,,,,,,,,,,,,,PORT SHEPSTONE CC,KWAZULU/NATAL,,Mangaung Cc,,,,,,,,,,,PORT SHEPSTONE CC,KWAZULU/NATAL,,,,,,,,,,Gauteng,Brakpan Cc,Boksburg North,,Gauteng,Brakpan Cc,Boksburg North
,Kinkelbos,Eastern Cape,,,Bolobedu,,,Bolobedu,Limpopo,,,,,,,,,,,,,,,,,ULUNDI CC,KWAZULU/NATAL,,Margate Cc,,,,,,,,,,,ULUNDI CC,KWAZULU/NATAL,,,,,,,,,,Limpopo,Tzaneen Cc,Bolobedu,,Limpopo,Tzaneen Cc,Bolobedu
,Kirkwood,Eastern Cape,,,Bonnievale,,,Bonnievale,Western Cape,,,,,,,,,,,,,,,,,UMLAZI CC,KWAZULU/NATAL,,Matatiele Cc,,,,,,,,,,,UMLAZI CC,KWAZULU/NATAL,,,,,,,,,,Western Cape,Worcester Cc,Bonnievale,,Western Cape,Worcester Cc,Bonnievale
,Kleinbulhoek,Eastern Cape,,,Boons,,,Boons,North West,,,,,,,,,,,,,,,,,VRYHEID CC,KWAZULU/NATAL,,Mdantsane Cc,,,,,,,,,,,VRYHEID CC,KWAZULU/NATAL,,,,,,,,,,North West,Rustenburg Cc,Boons,,North West,Rustenburg Cc,Boons
,Klipplaat,Eastern Cape,,,Booysens,,,Booysens,Gauteng,,,,,,,,,,,,,,,,,BELA BELA CC,LIMPOPO,,Middelburg Cc,,,,,,,,,,,BELA BELA CC,LIMPOPO,,,,,,,,,,Gauteng,Jhb Central Cc,Booysens,,Gauteng,Jhb Central Cc,Booysens
,Kolomane,Eastern Cape,,,Boschkop,,,Boschkop,Gauteng,,,,,,,,,,,,,,,,,GIYANI CC,LIMPOPO,,Milnerton Cc,,,,,,,,,,,GIYANI CC,LIMPOPO,,,,,,,,,,Gauteng,Bronkhorstspruit Cc,Boschkop,,Gauteng,Bronkhorstspruit Cc,Boschkop
,Komga,Eastern Cape,,,Boshoek,,,Boshoek,North West,,,,,,,,,,,,,,,,,GROBLERSDAL CC,LIMPOPO,,Mitchells Plain Cc,,,,,,,,,,,GROBLERSDAL CC,LIMPOPO,,,,,,,,,,North West,Morokweng Cc,Boshoek,,North West,Morokweng Cc,Boshoek
,Kwaaiman,Eastern Cape,,,Boshof,,,Boshof,Free State,,,,,,,,,,,,,,,,,LEBOWAKGOMO CC,LIMPOPO,,Mmakau Cc,,,,,,,,,,,LEBOWAKGOMO CC,LIMPOPO,,,,,,,,,,Free State,Bultfontein Cc,Boshof,,Free State,Bultfontein Cc,Boshof
,Kwadwesi,Eastern Cape,,,Boston,,,Boston,Kwazulu/Natal,,,,,,,,,,,,,,,,,LEPHALALE CC,LIMPOPO,,Modimolle Cc,,,,,,,,,,,LEPHALALE CC,LIMPOPO,,,,,,,,,,Kwazulu/Natal,Howick Cc,Boston,,Kwazulu/Natal,Howick Cc,Boston
,Kwandengane,Eastern Cape,,,Bothasig,,,Bothasig,Western Cape,,,,,,,,,,,,,,,,,MAHWELERENG CC,LIMPOPO,,Moroka Cc,,,,,,,,,,,MAHWELERENG CC,LIMPOPO,,,,,,,,,,Western Cape,Bellville Cc,Bothasig,,Western Cape,Bellville Cc,Bothasig
,Kwanobuhle,Eastern Cape,,,Bothaville,,,Bothaville,Free State,,,,,,,,,,,,,,,,,MAKHADO CC,LIMPOPO,,Morokweng Cc,,,,,,,,,,,MAKHADO CC,LIMPOPO,,,,,,,,,,Free State,Welkom Cc,Bothaville,,Free State,Welkom Cc,Bothaville
,Kwazakele,Eastern Cape,,,Bothithong,,,Bothithong,Northern Cape,,,,,,,,,,,,,,,,,MODIMOLLE CC,LIMPOPO,,Motherwell Cc,,,,,,,,,,,MODIMOLLE CC,LIMPOPO,,,,,,,,,,Northern Cape,Kuruman Cc,Bothithong,,Northern Cape,Kuruman Cc,Bothithong
,Lady Frere,Eastern Cape,,,Botlokwa,,,Botlokwa,Limpopo,,,,,,,,,,,,,,,,,MUSINA CC,LIMPOPO,,Mount Ayliff Cc,,,,,,,,,,,MUSINA CC,LIMPOPO,,,,,,,,,,Limpopo,Polokwane Cc,Botlokwa,,Limpopo,Polokwane Cc,Botlokwa
,Lady Grey,Eastern Cape,,,Botshabelo,,,Botshabelo,Free State,,,,,,,,,,,,,,,,,PHALABORWA CC,LIMPOPO,,Mount Fletcher Cc,,,,,,,,,,,PHALABORWA CC,LIMPOPO,,,,,,,,,,Free State,Selosesha Cc,Botshabelo,,Free State,Selosesha Cc,Botshabelo
,Libode,Eastern Cape,,,Brackendowns,,,Brackendowns,Gauteng,,,,,,,,,,,,,,,,,POLOKWANE CC,LIMPOPO,,Mount Frere Cc,,,,,,,,,,,POLOKWANE CC,LIMPOPO,,,,,,,,,,Gauteng,Germiston Cc,Brackendowns,,Gauteng,Germiston Cc,Brackendowns
,Lukholweni,Eastern Cape,,,Brackenfell,,,Brackenfell,Western Cape,,,,,,,,,,,,,,,,,SESHEGO CC,LIMPOPO,,Mount Road Cc,,,,,,,,,,,SESHEGO CC,LIMPOPO,,,,,,,,,,Western Cape,Kraaifontein Cc,Brackenfell,,Western Cape,Kraaifontein Cc,Brackenfell
,Lusikisiki,Eastern Cape,,,Brakpan,,,Brakpan,Gauteng,,,,,,,,,,,,,,,,,THABAZIMBI CC,LIMPOPO,,Mqanduli Cc,,,,,,,,,,,THABAZIMBI CC,LIMPOPO,,,,,,,,,,Gauteng,Brakpan Cc,Brakpan,,Gauteng,Brakpan Cc,Brakpan
,Macleantown,Eastern Cape,,,Bramley,,,Bramley,Gauteng,,,,,,,,,,,,,,,,,THOHOYANDOU CC,LIMPOPO,,Mthatha Cc,,,,,,,,,,,THOHOYANDOU CC,LIMPOPO,,,,,,,,,,Gauteng,Alexandra Cc,Bramley,,Gauteng,Alexandra Cc,Bramley
,Maclear,Eastern Cape,,,Brandfort,,,Brandfort,Free State,,,,,,,,,,,,,,,,,TUBATSE CC,LIMPOPO,,Muizenberg Cc,,,,,,,,,,,TUBATSE CC,LIMPOPO,,,,,,,,,,Free State,Bultfontein Cc,Brandfort,,Free State,Bultfontein Cc,Brandfort
,Madeira,Eastern Cape,,,Brandvlei,,,Brandvlei,Northern Cape,,,,,,,,,,,,,,,,,TZANEEN CC,LIMPOPO,,Musina Cc,,,,,,,,,,,TZANEEN CC,LIMPOPO,,,,,,,,,,Northern Cape,Calvinia Cc,Brandvlei,,Northern Cape,Calvinia Cc,Brandvlei
,Maletswai,Eastern Cape,,,Bray,,,Bray,North West,,,,,,,,,,,,,,,,,ACORNHOEK CC,MPUMALANGA,,Nelspruit Cc,,,,,,,,,,,ACORNHOEK CC,MPUMALANGA,,,,,,,,,,North West,Morokweng Cc,Bray,,North West,Morokweng Cc,Bray
,Maluti,Eastern Cape,,,Bredasdorp,,,Bredasdorp,Western Cape,,,,,,,,,,,,,,,,,BALFOUR CC,MPUMALANGA,,Newcastle Cc,,,,,,,,,,,BALFOUR CC,MPUMALANGA,,,,,,,,,,Western Cape,Hermanus Cc,Bredasdorp,,Western Cape,Hermanus Cc,Bredasdorp
,Matatiele,Eastern Cape,,,Breyten,,,Breyten,Mpumalanga,,,,,,,,,,,,,,,,,BELFAST CC,MPUMALANGA,,Nyanga Cc,,,,,,,,,,,BELFAST CC,MPUMALANGA,,,,,,,,,,Mpumalanga,Ermelo Cc,Breyten,,Mpumalanga,Ermelo Cc,Breyten
,Mbizana,Eastern Cape,,,Bridge Camp,,,Bridge Camp,Eastern Cape,,,,,,,,,,,,,,,,,ELUKWATINI CC,MPUMALANGA,,Orlando Cc,,,,,,,,,,,ELUKWATINI CC,MPUMALANGA,,,,,,,,,,Eastern Cape,Cofimvaba Cc,Bridge Camp,,Eastern Cape,Cofimvaba Cc,Bridge Camp
,Mbizeni,Eastern Cape,,,Brighton Beach,,,Brighton Beach,Kwazulu/Natal,,,,,,,,,,,,,,,,,ERMELO CC,MPUMALANGA,,Oudtshoorn Cc,,,,,,,,,,,ERMELO CC,MPUMALANGA,,,,,,,,,,Kwazulu/Natal,Brighton Beach Cc,Brighton Beach,,Kwazulu/Natal,Brighton Beach Cc,Brighton Beach
,Mdantsane,Eastern Cape,,,Brits,,,Brits,North West,,,,,,,,,,,,,,,,,KWAMHLANGA CC,MPUMALANGA,,Paarl Cc,,,,,,,,,,,KWAMHLANGA CC,MPUMALANGA,,,,,,,,,,North West,Brits Cc,Brits,,North West,Brits Cc,Brits
,Middelburg(Ec),Eastern Cape,,,Britstown,,,Britstown,Northern Cape,,,,,,,,,,,,,,,,,LYDENBURG CC,MPUMALANGA,,Park Road Cc,,,,,,,,,,,LYDENBURG CC,MPUMALANGA,,,,,,,,,,Northern Cape,De Aar Cc,Britstown,,Northern Cape,De Aar Cc,Britstown
,Middledrift,Eastern Cape,,,Brixton,,,Brixton,Gauteng,,,,,,,,,,,,,,,,,MIDDELBURG CC,MPUMALANGA,,Peddie Cc,,,,,,,,,,,MIDDELBURG CC,MPUMALANGA,,,,,,,,,,Gauteng,Jhb Central Cc,Brixton,,Gauteng,Jhb Central Cc,Brixton
,Mlungisi,Eastern Cape,,,Bronkhorstspruit,,,Bronkhorstspruit,Gauteng,,,,,,,,,,,,,,,,,NELSPRUIT CC,MPUMALANGA,,Phalaborwa Cc,,,,,,,,,,,NELSPRUIT CC,MPUMALANGA,,,,,,,,,,Gauteng,Bronkhorstspruit Cc,Bronkhorstspruit,,Gauteng,Bronkhorstspruit Cc,Bronkhorstspruit
,Molteno,Eastern Cape,,,Bronville,,,Bronville,Free State,,,,,,,,,,,,,,,,,PIENAAR CC,MPUMALANGA,,Phoenix Cc,,,,,,,,,,,PIENAAR CC,MPUMALANGA,,,,,,,,,,Free State,Thabong Cc,Bronville,,Free State,Thabong Cc,Bronville
,Mooiplaas,Eastern Cape,,,Brooklyn,,,Brooklyn,Gauteng,,,,,,,,,,,,,,,,,PIET RETIEF CC,MPUMALANGA,,Phuthaditjhaba Cc,,,,,,,,,,,PIET RETIEF CC,MPUMALANGA,,,,,,,,,,Gauteng,Sunnyside Cc,Brooklyn,,Gauteng,Sunnyside Cc,Brooklyn
,Motherwell,Eastern Cape,,,Buffalo Flats,,,Buffalo Flats,Eastern Cape,,,,,,,,,,,,,,,,,SECUNDA CC,MPUMALANGA,,Pienaar Cc,,,,,,,,,,,SECUNDA CC,MPUMALANGA,,,,,,,,,,Eastern Cape,East London Cc,Buffalo Flats,,Eastern Cape,East London Cc,Buffalo Flats
,Mount Ayliff,Eastern Cape,,,Buffelshoek,,,Buffelshoek,North West,,,,,,,,,,,,,,,,,STANDERTON CC,MPUMALANGA,,Piet Retief Cc,,,,,,,,,,,STANDERTON CC,MPUMALANGA,,,,,,,,,,North West,Potchefstroom Cc,Buffelshoek,,North West,Potchefstroom Cc,Buffelshoek
,Mount Fletcher,Eastern Cape,,,Bulgerivier,,,Bulgerivier,Limpopo,,,,,,,,,,,,,,,,,TONGA CC,MPUMALANGA,,Pietermaritzburg Cc,,,,,,,,,,,TONGA CC,MPUMALANGA,,,,,,,,,,Limpopo,Lephalale Cc,Bulgerivier,,Limpopo,Lephalale Cc,Bulgerivier
,Mount Frere,Eastern Cape,,,Bultfontein,,,Bultfontein,Free State,,,,,,,,,,,,,,,,,WITBANK CC,MPUMALANGA,,Pinetown Cc,,,,,,,,,,,WITBANK CC,MPUMALANGA,,,,,,,,,,Free State,Bultfontein Cc,Bultfontein,,Free State,Bultfontein Cc,Bultfontein
,Mount Road,Eastern Cape,,,Bulwer,,,Bulwer,Kwazulu/Natal,,,,,,,,,,,,,,,,,BRITS CC,NORTH WEST,,Plessislaer Cc,,,,,,,,,,,BRITS CC,NORTH WEST,,,,,,,,,,Kwazulu/Natal,Plessislaer Cc,Bulwer,,Kwazulu/Natal,Plessislaer Cc,Bulwer
,Moyeni,Eastern Cape,,,Burgersdorp,,,Burgersdorp,Eastern Cape,,,,,,,,,,,,,,,,,KLERKSDORP CC,NORTH WEST,,Pofadder Cc,,,,,,,,,,,KLERKSDORP CC,NORTH WEST,,,,,,,,,,Eastern Cape,Aliwal North Cc,Burgersdorp,,Eastern Cape,Aliwal North Cc,Burgersdorp
,Mpisi,Eastern Cape,,,Burgersfort,,,Burgersfort,Limpopo,,,,,,,,,,,,,,,,,LICHTENBURG CC,NORTH WEST,,Polokwane Cc,,,,,,,,,,,LICHTENBURG CC,NORTH WEST,,,,,,,,,,Limpopo,Tubatse Cc,Burgersfort,,Limpopo,Tubatse Cc,Burgersfort
,Mqanduli,Eastern Cape,,,Bushbuckridge,,,Bushbuckridge,Mpumalanga,,,,,,,,,,,,,,,,,MAHIKENG CC,NORTH WEST,,Port Alfred Cc,,,,,,,,,,,MAHIKENG CC,NORTH WEST,,,,,,,,,,Mpumalanga,Acornhoek Cc,Bushbuckridge,,Mpumalanga,Acornhoek Cc,Bushbuckridge
,Msobomvu,Eastern Cape,,,Butterworth,,,Butterworth,Eastern Cape,,,,,,,,,,,,,,,,,MMAKAU CC,NORTH WEST,,Port Nolloth Cc,,,,,,,,,,,MMAKAU CC,NORTH WEST,,,,,,,,,,Eastern Cape,Butterworth Cc,Butterworth,,Eastern Cape,Butterworth Cc,Butterworth
,Mthatha,Eastern Cape,,,Cala,,,Cala,Eastern Cape,,,,,,,,,,,,,,,,,MOROKWENG CC,NORTH WEST,,Port Shepstone Cc,,,,,,,,,,,MOROKWENG CC,NORTH WEST,,,,,,,,,,Eastern Cape,Elliot Cc,Cala,,Eastern Cape,Elliot Cc,Cala
,Mtontsasa,Eastern Cape,,,Calcutta,,,Calcutta,Mpumalanga,,,,,,,,,,,,,,,,,POTCHEFSTROOM CC,NORTH WEST,,Port St Johns Cc,,,,,,,,,,,POTCHEFSTROOM CC,NORTH WEST,,,,,,,,,,Mpumalanga,Acornhoek Cc,Calcutta,,Mpumalanga,Acornhoek Cc,Calcutta
,Mzamba,Eastern Cape,,,Caledon,,,Caledon,Western Cape,,,,,,,,,,,,,,,,,PUDIMOE CC,NORTH WEST,,Postmasburg Cc,,,,,,,,,,,PUDIMOE CC,NORTH WEST,,,,,,,,,,Western Cape,Caledon Cc,Caledon,,Western Cape,Caledon Cc,Caledon
,Ndevana,Eastern Cape,,,Calitzdorp,,,Calitzdorp,Western Cape,,,,,,,,,,,,,,,,,RUSTENBURG CC,NORTH WEST,,Potchefstroom Cc,,,,,,,,,,,RUSTENBURG CC,NORTH WEST,,,,,,,,,,Western Cape,Oudtshoorn Cc,Calitzdorp,,Western Cape,Oudtshoorn Cc,Calitzdorp
,Nemato,Eastern Cape,,,Calvinia,,,Calvinia,Northern Cape,,,,,,,,,,,,,,,,,VRYBURG CC,NORTH WEST,,Pretoria Central Cc,,,,,,,,,,,VRYBURG CC,NORTH WEST,,,,,,,,,,Northern Cape,Calvinia Cc,Calvinia,,Northern Cape,Calvinia Cc,Calvinia
,New Brighton,Eastern Cape,,,Cambridge,,,Cambridge,Eastern Cape,,,,,,,,,,,,,,,,,WOLMARANSSTAD CC,NORTH WEST,,Prieska Cc,,,,,,,,,,,WOLMARANSSTAD CC,NORTH WEST,,,,,,,,,,Eastern Cape,Mdantsane Cc,Cambridge,,Eastern Cape,Mdantsane Cc,Cambridge
,Ngangelizwe,Eastern Cape,,,Campbell,,,Campbell,Northern Cape,,,,,,,,,,,,,,,,,ZEERUST CC,NORTH WEST,,Pudimoe Cc,,,,,,,,,,,ZEERUST CC,NORTH WEST,,,,,,,,,,Northern Cape,Kimberley Cc,Campbell,,Northern Cape,Kimberley Cc,Campbell
,Ngcobo,Eastern Cape,,,Camperdown,,,Camperdown,Kwazulu/Natal,,,,,,,,,,,,,,,,,CALVINIA CC,NORTHERN CAPE,,Queenstown Cc,,,,,,,,,,,CALVINIA CC,NORTHERN CAPE,,,,,,,,,,Kwazulu/Natal,Pietermaritzburg Cc,Camperdown,,Kwazulu/Natal,Pietermaritzburg Cc,Camperdown
,Ngqamakhwe,Eastern Cape,,,Camps Bay,,,Camps Bay,Western Cape,,,,,,,,,,,,,,,,,CARNARVON CC,NORTHERN CAPE,,Rustenburg Cc,,,,,,,,,,,CARNARVON CC,NORTHERN CAPE,,,,,,,,,,Western Cape,Cape Town Central Cc,Camps Bay,,Western Cape,Cape Town Central Cc,Camps Bay
,Ngqeleni,Eastern Cape,,,Cape Town Central,,,Cape Town Central,Western Cape,,,,,,,,,,,,,,,,,DE AAR CC,NORTHERN CAPE,,Sebokeng Cc,,,,,,,,,,,DE AAR CC,NORTHERN CAPE,,,,,,,,,,Western Cape,Cape Town Central Cc,Cape Town Central,,Western Cape,Cape Town Central Cc,Cape Town Central
,Ntabankulu,Eastern Cape,,,Carletonville,,,Carletonville,Gauteng,,,,,,,,,,,,,,,,,GALESHEWE CC,NORTHERN CAPE,,Secunda Cc,,,,,,,,,,,GALESHEWE CC,NORTHERN CAPE,,,,,,,,,,Gauteng,Carletonville Cc,Carletonville,,Gauteng,Carletonville Cc,Carletonville
,Ntabethemba,Eastern Cape,,,Carnarvon,,,Carnarvon,Northern Cape,,,,,,,,,,,,,,,,,HARTSWATER CC,NORTHERN CAPE,,Selosesha Cc,,,,,,,,,,,HARTSWATER CC,NORTHERN CAPE,,,,,,,,,,Northern Cape,Carnarvon Cc,Carnarvon,,Northern Cape,Carnarvon Cc,Carnarvon
,Palmietfontein,Eastern Cape,,,Carolina,,,Carolina,Mpumalanga,,,,,,,,,,,,,,,,,HOPETOWN CC,NORTHERN CAPE,,Seshego Cc,,,,,,,,,,,HOPETOWN CC,NORTHERN CAPE,,,,,,,,,,Mpumalanga,Elukwatini Cc,Carolina,,Mpumalanga,Elukwatini Cc,Carolina
,Patensie,Eastern Cape,,,Cathcart,,,Cathcart,Eastern Cape,,,,,,,,,,,,,,,,,KAKAMAS CC,NORTHERN CAPE,,Smithfield Cc,,,,,,,,,,,KAKAMAS CC,NORTHERN CAPE,,,,,,,,,,Eastern Cape,Whittlesea Cc,Cathcart,,Eastern Cape,Whittlesea Cc,Cathcart
,Paterson,Eastern Cape,,,Cato Manor,,,Cato Manor,Kwazulu/Natal,,,,,,,,,,,,,,,,,KATHU CC,NORTHERN CAPE,,Springbok Cc,,,,,,,,,,,KATHU CC,NORTHERN CAPE,,,,,,,,,,Kwazulu/Natal,Brighton Beach Cc,Cato Manor,,Kwazulu/Natal,Brighton Beach Cc,Cato Manor
,Pearston,Eastern Cape,,,Cedarville,,,Cedarville,Eastern Cape,,,,,,,,,,,,,,,,,KIMBERLEY CC,NORTHERN CAPE,,Springs Cc,,,,,,,,,,,KIMBERLEY CC,NORTHERN CAPE,,,,,,,,,,Eastern Cape,Matatiele Cc,Cedarville,,Eastern Cape,Matatiele Cc,Cedarville
,Peddie,Eastern Cape,,,Centane,,,Centane,Eastern Cape,,,,,,,,,,,,,,,,,KURUMAN CC,NORTHERN CAPE,,Standerton Cc,,,,,,,,,,,KURUMAN CC,NORTHERN CAPE,,,,,,,,,,Eastern Cape,Butterworth Cc,Centane,,Eastern Cape,Butterworth Cc,Centane
,Phumalanga,Eastern Cape,,,Ceres,,,Ceres,Western Cape,,,,,,,,,,,,,,,,,POFADDER CC,NORTHERN CAPE,,Stellenbosch Cc,,,,,,,,,,,POFADDER CC,NORTHERN CAPE,,,,,,,,,,Western Cape,Ceres Cc,Ceres,,Western Cape,Ceres Cc,Ceres
,Port Alfred,Eastern Cape,,,Ceza,,,Ceza,Kwazulu/Natal,,,,,,,,,,,,,,,,,PORT NOLLOTH CC,NORTHERN CAPE,,Sunnyside Cc,,,,,,,,,,,PORT NOLLOTH CC,NORTHERN CAPE,,,,,,,,,,Kwazulu/Natal,Ulundi Cc,Ceza,,Kwazulu/Natal,Ulundi Cc,Ceza
,Port St Johns,Eastern Cape,,,Chalumna,,,Chalumna,Eastern Cape,,,,,,,,,,,,,,,,,POSTMASBURG CC,NORTHERN CAPE,,Temba Cc,,,,,,,,,,,POSTMASBURG CC,NORTHERN CAPE,,,,,,,,,,Eastern Cape,East London Cc,Chalumna,,Eastern Cape,East London Cc,Chalumna
,Punzana,Eastern Cape,,,Charl Cilliers,,,Charl Cilliers,Mpumalanga,,,,,,,,,,,,,,,,,PRIESKA CC,NORTHERN CAPE,,Tembisa Cc,,,,,,,,,,,PRIESKA CC,NORTHERN CAPE,,,,,,,,,,Mpumalanga,Secunda Cc,Charl Cilliers,,Mpumalanga,Secunda Cc,Charl Cilliers
,Queenstown,Eastern Cape,,,Charlestown,,,Charlestown,Kwazulu/Natal,,,,,,,,,,,,,,,,,SPRINGBOK CC,NORTHERN CAPE,,Thabazimbi Cc,,,,,,,,,,,SPRINGBOK CC,NORTHERN CAPE,,,,,,,,,,Kwazulu/Natal,Newcastle Cc,Charlestown,,Kwazulu/Natal,Newcastle Cc,Charlestown
,Qumbu,Eastern Cape,,,Chatsworth,,,Chatsworth,Kwazulu/Natal,,,,,,,,,,,,,,,,,UPINGTON CC,NORTHERN CAPE,,Thabong Cc,,,,,,,,,,,UPINGTON CC,NORTHERN CAPE,,,,,,,,,,Kwazulu/Natal,Chatsworth Cc,Chatsworth,,Kwazulu/Natal,Chatsworth Cc,Chatsworth
