,Station / Province,Province,,,,,,Station / Province,Province,,,,Eastern Cape,,,Joza,Eastern Cape,,,,,,,,,CLUSTER,PROVINCE,,Cluster,,,,Murder,,,Murder,,,,CLUSTER,PROVINCE,,,,,,,,,,Province,Cluster,Station,,Province,Cluster,Station
,Coffee Bay,Eastern Cape,,,Babanango,,,Babanango,Kwazulu/Natal,,,,,,,,,,,,,,,,,PARK ROAD CC,FREE STATE,,Elukwatini Cc,,,,Drug-related crime,,,,,,,PARK ROAD CC,FREE STATE,,,,,,,,,,Kwazulu/Natal,Ulundi Cc,Babanango,,Kwazulu/Natal,Ulundi Cc,Babanango
,Cofimvaba,Eastern Cape,,,Badplaas,,,Badplaas,Mpumalanga,,,,,,,,,,,,,,,,,PHUTHADITJHABA CC,FREE STATE,,Empangeni Cc,,,,Driving under the influence of alcohol or drugs,,,,,,,PHUTHADITJHABA CC,FREE STATE,,,,,,,,,,Mpumalanga,Elukwatini Cc,Badplaas,,Mpumalanga,Elukwatini Cc,Badplaas
,Committees,Eastern Cape,,,Bainsvlei,,,Bainsvlei,Free State,,,,,,,,,,,,,,,,,SELOSESHA CC,FREE STATE,,Ermelo Cc,,,,Sexual offences detected as result of police action,,,,,,,SELOSESHA CC,FREE STATE,,,,,,,,,,Free State,Park Road Cc,Bainsvlei,,Free State,Park Road Cc,Bainsvlei
,Cookhouse,Eastern Cape,,,Balfour,,,Balfour,Eastern Cape,,,,,,,,,,,,,,,,,SMITHFIELD CC,FREE STATE,,Eshowe Cc,,,,,,,,,,,SMITHFIELD CC,FREE STATE,,,,,,,,,,Eastern Cape,Alice Cc,Balfour,,Eastern Cape,Alice Cc,Balfour
,Cradock,Eastern Cape,,,Balfour Tvl,,,Balfour Tvl,Mpumalanga,,,,,,,,,,,,,,,,,THABONG CC,FREE STATE,,Estcourt Cc,,,,,,,,,,,THABONG CC,FREE STATE,,,,,,,,,,Mpumalanga,Balfour Cc,Balfour Tvl,,Mpumalanga,Balfour Cc,Balfour Tvl
,Dalasile,Eastern Cape,,,Barberton,,,Barberton,Mpumalanga,,,,,,,,,,,,,,,,,TROMPSBURG CC,FREE STATE,,Ficksburg Cc,,,,,,,,,,,TROMPSBURG CC,FREE STATE,,,,,,,,,,Mpumalanga,Nelspruit Cc,Barberton,,Mpumalanga,Nelspruit Cc,Barberton
,Despatch,Eastern Cape,,,Barkly East,,,Barkly East,Eastern Cape,,,,,,,,,,,,,,,,,TUMAHOLE CC,FREE STATE,,Galeshewe Cc,,,,,,,,,,,TUMAHOLE CC,FREE STATE,,,,,,,,,,Eastern Cape,Elliot Cc,Barkly East,,Eastern Cape,Elliot Cc,Barkly East
,Dimbaza,Eastern Cape,,,Barkly West,,,Barkly West,Northern Cape,,,,,,,,,,,,,,,,,VREDE CC,FREE STATE,,Ga-Rankuwa Cc,,,,,,,,,,,VREDE CC,FREE STATE,,,,,,,,,,Northern Cape,Galeshewe Cc,Barkly West,,Northern Cape,Galeshewe Cc,Barkly West
,Dordrecht,Eastern Cape,,,Barrydale,,,Barrydale,Western Cape,,,,,,,,,,,,,,,,,WELKOM CC,FREE STATE,,Gauteng: Ports Of Entry: Air,,,,,,,,,,,WELKOM CC,FREE STATE,,,,,,,,,,Western Cape,Worcester Cc,Barrydale,,Western Cape,Worcester Cc,Barrydale
,Doringkloof,Eastern Cape,,,Bathlaros,,,Bathlaros,Northern Cape,,,,,,,,,,,,,,,,,ZAMDELA CC,FREE STATE,,George Cc,,,,,,,,,,,ZAMDELA CC,FREE STATE,,,,,,,,,,Northern Cape,Kuruman Cc,Bathlaros,,Northern Cape,Kuruman Cc,Bathlaros
,Duncan Village,Eastern Cape,,,Batho,,,Batho,Free State,,,,,,,,,,,,,,,,,ALEXANDRA CC,GAUTENG,,Germiston Cc,,,,,,,,,,,ALEXANDRA CC,GAUTENG,,,,,,,,,,Free State,Mangaung Cc,Batho,,Free State,Mangaung Cc,Batho
,Dutywa,Eastern Cape,,,Bathurst,,,Bathurst,Eastern Cape,,,,,,,,,,,,,,,,,BENONI CC,GAUTENG,,Giyani Cc,,,,,,,,,,,BENONI CC,GAUTENG,,,,,,,,,,Eastern Cape,Port Alfred Cc,Bathurst,,Eastern Cape,Port Alfred Cc,Bathurst
,East London,Eastern Cape,,,Baviaanskloof,,,Baviaanskloof,Eastern Cape,,,,,,,,,,,,,,,,,BRAKPAN CC,GAUTENG,,Graaff-Reinet Cc,,,,,,,,,,,BRAKPAN CC,GAUTENG,,,,,,,,,,Eastern Cape,Willowmore Cc,Baviaanskloof,,Eastern Cape,Willowmore Cc,Baviaanskloof
,Elands Height,Eastern Cape,,,Bayswater,,,Bayswater,Free State,,,,,,,,,,,,,,,,,BRONKHORSTSPRUIT CC,GAUTENG,,Grahamstown Cc,,,,,,,,,,,BRONKHORSTSPRUIT CC,GAUTENG,,,,,,,,,,Free State,Park Road Cc,Bayswater,,Free State,Park Road Cc,Bayswater
,Elliot,Eastern Cape,,,Bayview,,,Bayview,Kwazulu/Natal,,,,,,,,,,,,,,,,,CARLETONVILLE CC,GAUTENG,,Greytown Cc,,,,,,,,,,,CARLETONVILLE CC,GAUTENG,,,,,,,,,,Kwazulu/Natal,Chatsworth Cc,Bayview,,Kwazulu/Natal,Chatsworth Cc,Bayview
,Elliotdale,Eastern Cape,,,Beacon Bay,,,Beacon Bay,Eastern Cape,,,,,,,,,,,,,,,,,GA-RANKUWA CC,GAUTENG,,Groblersdal Cc,,,,,,,,,,,GA-RANKUWA CC,GAUTENG,,,,,,,,,,Eastern Cape,East London Cc,Beacon Bay,,Eastern Cape,East London Cc,Beacon Bay
,Ezibeleni,Eastern Cape,,,Beaufort West,,,Beaufort West,Western Cape,,,,,,,,,,,,,,,,,GAUTENG: PORTS OF ENTRY: AIR,GAUTENG,,Hartswater Cc,,,,,,,,,,,GAUTENG: PORTS OF ENTRY: AIR,GAUTENG,,,,,,,,,,Western Cape,Beaufort West Cc,Beaufort West,,Western Cape,Beaufort West Cc,Beaufort West
,Flagstaff,Eastern Cape,,,Bedford,,,Bedford,Eastern Cape,,,,,,,,,,,,,,,,,GERMISTON CC,GAUTENG,,Hermanus Cc,,,,,,,,,,,GERMISTON CC,GAUTENG,,,,,,,,,,Eastern Cape,Cradock Cc,Bedford,,Eastern Cape,Cradock Cc,Bedford
