Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Severity,Slope,Residual
Kwazulu/Natal,Kwadukuza,Sexual Offences,209,264,206,233,260,209,195,219,218,197,171,1,-4.681818181818177,239.86363636363635
Eastern Cape,Buffalo Flats,Sexual Offences,92,89,79,70,78,88,66,71,49,47,43,1,-4.663636363636363,93.50000000000001
Gauteng,Ratanda,Sexual Offences,0,0,68,89,94,81,86,68,50,47,55,1,-4.650000000000001,98.78888888888889
Northern Cape,Upington,Sexual Offences,71,84,88,78,72,61,53,52,47,41,43,1,-4.599999999999996,85.72727272727273
Kwazulu/Natal,Bhekithemba,Sexual Offences,149,150,123,183,169,139,131,144,136,109,97,1,-4.55454545454545,161.86363636363637
Gauteng,Eersterust,Sexual Offences,62,38,47,40,49,33,24,23,14,18,10,1,-4.527272727272726,55.18181818181818
Mpumalanga,Vaalbank,Sexual Offences,74,91,67,68,67,79,48,58,34,43,43,1,-4.409090909090908,83.13636363636364
Kwazulu/Natal,Ladysmith,Sexual Offences,159,143,161,167,201,168,137,155,136,126,109,1,-4.37272727272727,172.95454545454547
North West,Ikageng,Sexual Offences,206,207,203,246,196,182,205,248,218,161,135,1,-4.372727272727269,222.50000000000009
Kwazulu/Natal,Newlands East,Sexual Offences,97,94,75,89,94,71,49,75,55,46,67,1,-4.318181818181816,95.40909090909089
Limpopo,Mahwelereng,Sexual Offences,209,162,167,165,174,143,131,147,144,158,147,1,-4.309090909090904,180.36363636363635
Kwazulu/Natal,Verulam,Sexual Offences,126,155,157,196,160,139,142,133,127,113,112,1,-4.290909090909087,163.27272727272728
Limpopo,Morebeng,Sexual Offences,41,39,50,38,40,19,15,16,16,9,5,1,-4.281818181818181,47.5909090909091
Western Cape,Lingelethu-West,Sexual Offences,135,108,83,87,99,98,104,108,73,79,62,1,-4.218181818181816,115.27272727272728
Gauteng,Tsakane,Sexual Offences,210,223,223,242,267,265,248,190,201,176,195,1,-4.109090909090902,242.36363636363632
Eastern Cape,Humewood,Sexual Offences,97,89,101,78,81,73,79,64,63,51,66,1,-4.099999999999995,97.04545454545452
Kwazulu/Natal,Umkomaas,Sexual Offences,83,122,104,103,105,99,111,91,68,65,65,1,-4.036363636363634,112.54545454545455
Gauteng,Soshanguve,Sexual Offences,151,123,111,101,83,87,78,104,83,83,111,1,-4.0272727272727264,121.5
Kwazulu/Natal,Umbilo,Sexual Offences,50,41,82,151,162,120,66,63,54,34,40,1,-3.945454545454545,98.1818181818182
Gauteng,Akasia,Sexual Offences,199,180,162,183,208,175,199,192,185,146,124,1,-3.9363636363636276,197.22727272727275
Northern Cape,Augrabies,Sexual Offences,0,0,0,0,35,47,39,34,24,25,18,1,-3.928571428571424,59.214285714285666
Kwazulu/Natal,Greenwood Park,Sexual Offences,82,78,88,98,117,93,70,69,62,55,51,1,-3.909090909090908,98.00000000000001
Gauteng,Lyttelton,Sexual Offences,80,68,54,71,72,60,62,46,48,39,33,1,-3.8999999999999977,77.04545454545455
Kwazulu/Natal,Port Shepstone,Sexual Offences,113,106,136,197,137,137,143,129,110,85,86,1,-3.8818181818181787,144.77272727272728
Kwazulu/Natal,Umzinto,Sexual Offences,101,90,76,79,79,44,58,69,61,60,57,1,-3.8727272727272677,89.72727272727272
Gauteng,Sandton,Sexual Offences,61,58,60,138,266,136,55,61,54,60,51,1,-3.8636363636363606,110.22727272727273
Mpumalanga,Mmametlake,Sexual Offences,95,81,71,63,68,66,58,60,36,62,50,1,-3.8363636363636378,83.72727272727275
Limpopo,Giyani,Sexual Offences,166,178,132,106,110,151,156,165,104,120,112,1,-3.8363636363636333,155.54545454545453
Gauteng,Brooklyn,Sexual Offences,51,67,58,48,54,53,37,19,31,21,35,1,-3.818181818181819,62.18181818181819
Gauteng,Boipatong,Sexual Offences,54,37,29,36,47,35,26,17,26,9,6,1,-3.818181818181818,48.36363636363638
Gauteng,Bekkersdal,Sexual Offences,0,0,0,0,0,0,0,99,93,94,86,1,-3.7999999999999967,125.30000000000003
Gauteng,Kliprivier,Sexual Offences,23,23,63,78,19,35,8,15,5,9,13,1,-3.7909090909090892,45.40909090909091
Western Cape,Goodwood,Sexual Offences,58,49,62,64,52,33,43,28,33,29,25,1,-3.7545454545454535,62.045454545454554
Kwazulu/Natal,Pinetown,Sexual Offences,68,86,77,144,118,104,71,72,74,49,56,1,-3.709090909090907,102.0909090909091
Western Cape,Wynberg,Sexual Offences,48,38,45,87,40,58,31,20,24,22,21,1,-3.6818181818181785,57.86363636363637
Western Cape,Somerset West,Sexual Offences,65,52,52,47,53,44,37,21,28,32,30,1,-3.590909090909092,59.863636363636374
Gauteng,Jeppe,Sexual Offences,148,154,141,136,142,109,101,116,131,127,113,1,-3.5818181818181816,146.81818181818187
Gauteng,Orlando,Sexual Offences,166,154,142,179,150,142,110,143,144,124,133,1,-3.554545454545453,162.04545454545456
Kwazulu/Natal,Kwandengezi,Sexual Offences,84,83,50,67,75,64,70,74,42,56,31,1,-3.5272727272727264,80.9090909090909
Gauteng,Villieria,Sexual Offences,72,52,66,58,49,36,55,58,37,31,28,1,-3.4999999999999987,66.77272727272728
Gauteng,Lenasia South,Sexual Offences,86,103,70,81,100,73,58,68,46,63,69,1,-3.499999999999998,91.77272727272728
Limpopo,Sebayeng,Sexual Offences,0,0,0,0,0,0,0,0,49,51,42,1,-3.4999999999999964,78.83333333333326
Western Cape,Kwanonqaba,Sexual Offences,80,67,72,69,89,57,50,43,63,49,42,1,-3.4545454545454515,79.18181818181817
Gauteng,Carletonville,Sexual Offences,110,110,106,82,73,72,79,78,70,94,69,1,-3.4454545454545413,102.95454545454544
Kwazulu/Natal,Plessislaer,Sexual Offences,321,265,280,245,430,360,336,313,234,245,281,1,-3.4181818181818127,318.00000000000006
Limpopo,Lebowakgomo,Sexual Offences,117,126,128,140,111,120,120,110,105,100,87,1,-3.3999999999999986,131.90909090909093
Eastern Cape,Algoapark,Sexual Offences,79,105,69,94,90,82,74,74,64,62,53,1,-3.390909090909085,93.86363636363635
Limpopo,Seshego,Sexual Offences,245,271,211,224,267,234,250,265,216,214,200,1,-3.3909090909090813,253.0454545454545
Northern Cape,Rosedale,Sexual Offences,76,80,66,63,59,47,58,46,44,41,53,1,-3.3818181818181823,74.45454545454548
Gauteng,Brakpan,Sexual Offences,94,99,86,107,90,115,58,77,64,74,72,1,-3.345454545454548,101.81818181818187
Gauteng,Mondeor,Sexual Offences,77,75,86,139,121,161,75,71,57,71,61,1,-3.318181818181815,106.95454545454545
Gauteng,Zonkizizwe,Sexual Offences,65,59,77,62,97,47,46,49,39,55,34,1,-3.2909090909090923,73.72727272727273
Gauteng,Benoni,Sexual Offences,115,111,104,141,123,130,119,106,74,99,85,1,-3.2909090909090906,126.18181818181817
Western Cape,Macassar,Sexual Offences,67,65,63,46,60,52,43,43,33,30,46,1,-3.254545454545451,66.09090909090908
Western Cape,Sea Point,Sexual Offences,37,33,37,30,65,20,19,9,15,16,10,1,-3.245454545454546,42.681818181818194
Gauteng,The Barrage,Sexual Offences,46,25,22,15,27,17,19,9,5,5,6,1,-3.19090909090909,33.77272727272727
Kwazulu/Natal,Jozini,Sexual Offences,98,100,79,89,82,88,94,86,92,46,62,1,-3.19090909090909,99.22727272727273
Gauteng,Douglasdale,Sexual Offences,74,88,77,78,90,56,56,48,57,55,61,1,-3.19090909090909,83.22727272727275
Gauteng,Bronkhorstspruit,Sexual Offences,85,89,94,92,94,95,90,81,73,55,60,1,-3.1818181818181803,98.45454545454547
Gauteng,Sophia Town,Sexual Offences,130,104,88,94,112,83,59,80,83,86,94,1,-3.163636363636365,107.90909090909093
Eastern Cape,East London,Sexual Offences,161,147,146,149,166,171,145,162,122,116,130,1,-3.1454545454545397,162.5454545454545
Western Cape,Da Gamaskop,Sexual Offences,50,55,47,52,81,36,36,40,40,24,24,1,-3.127272727272727,59.727272727272734
Free State,Makwane,Sexual Offences,79,69,72,85,82,50,68,68,47,48,52,1,-3.109090909090908,80.99999999999999
North West,Bethanie,Sexual Offences,79,82,54,86,57,81,57,71,73,56,26,1,-3.109090909090907,81.1818181818182
Western Cape,Parow,Sexual Offences,73,66,62,59,87,79,49,53,49,36,47,1,-3.081818181818182,75.40909090909093
Gauteng,Yeoville,Sexual Offences,86,78,72,119,115,101,52,96,59,73,52,1,-3.0727272727272723,97.45454545454548
Mpumalanga,Kabokweni,Sexual Offences,128,191,172,209,152,165,186,151,156,123,141,1,-3.063636363636362,176.59090909090912
Western Cape,Ceres,Sexual Offences,79,79,75,90,61,87,55,84,64,51,45,1,-3.0272727272727273,85.13636363636364
Western Cape,Philippi,Sexual Offences,97,95,94,113,125,77,84,71,70,66,94,1,-2.9818181818181806,104.54545454545456
Gauteng,Fochville,Sexual Offences,62,65,80,58,39,51,37,60,46,30,45,1,-2.954545454545454,66.86363636363637
Eastern Cape,Mdantsane,Sexual Offences,155,158,166,173,139,169,163,155,157,124,125,1,-2.95454545454545,167.86363636363637
Mpumalanga,Lydenburg,Sexual Offences,71,62,46,47,57,49,43,55,33,39,32,1,-2.9454545454545427,63.27272727272726
Kwazulu/Natal,Kwamakhutha,Sexual Offences,129,148,183,122,146,160,154,136,153,88,123,1,-2.9454545454545427,154.90909090909093
Eastern Cape,Mqanduli,Sexual Offences,134,87,80,61,69,80,56,65,68,94,72,1,-2.936363636363636,93.40909090909092
Eastern Cape,Kirkwood,Sexual Offences,76,89,65,68,77,53,41,48,55,56,60,1,-2.890909090909092,77.00000000000003
Western Cape,Manenberg,Sexual Offences,152,151,109,102,158,122,144,146,133,89,109,1,-2.8818181818181823,143.04545454545456
Limpopo,Bolobedu,Sexual Offences,161,190,133,159,161,157,166,145,160,138,128,1,-2.863636363636361,168.68181818181822
Kwazulu/Natal,Int Airp King Shaka,Sexual Offences,25,36,21,1,1,1,1,0,0,4,1,1,-2.8454545454545452,22.500000000000007
Western Cape,Elsies River,Sexual Offences,115,136,99,77,112,129,110,97,95,95,80,1,-2.8454545454545386,118.31818181818183
Kwazulu/Natal,Richards Bay,Sexual Offences,119,88,97,116,80,79,78,78,87,87,79,1,-2.8363636363636298,103.99999999999997
Eastern Cape,Ngcobo,Sexual Offences,223,100,94,75,107,123,126,145,73,133,115,1,-2.8363636363636284,133.63636363636363
Gauteng,Sinoville,Sexual Offences,52,39,50,61,64,47,40,27,29,26,32,1,-2.7909090909090906,56.40909090909092
Western Cape,Strandfontein,Sexual Offences,42,43,36,42,24,21,16,22,16,16,24,1,-2.7818181818181817,41.36363636363637
Gauteng,Garsfontein,Sexual Offences,45,38,39,39,56,30,29,17,19,27,19,1,-2.772727272727271,46.40909090909089
Gauteng,Muldersdrift,Sexual Offences,42,51,58,59,52,54,41,35,19,41,25,1,-2.736363636363636,57.045454545454554
Kwazulu/Natal,Gamalakhe,Sexual Offences,46,44,45,51,58,46,38,19,31,27,25,1,-2.718181818181815,52.681818181818166
Mpumalanga,Masoyi,Sexual Offences,186,163,143,161,117,128,141,177,160,144,120,1,-2.7181818181818134,162.6818181818182
Gauteng,Cleveland,Sexual Offences,70,54,76,65,71,71,45,54,47,36,52,1,-2.6999999999999966,71.77272727272727
North West,Klipgat,Sexual Offences,90,100,83,89,83,66,99,87,84,46,71,1,-2.6909090909090914,95.09090909090911
Free State,Heidedal,Sexual Offences,56,74,51,49,41,37,39,54,34,37,35,1,-2.6909090909090887,59.54545454545454
Western Cape,Kensington,Sexual Offences,39,31,31,47,28,31,23,19,12,8,22,1,-2.6818181818181817,39.86363636363637
Gauteng,Elsburg,Sexual Offences,70,64,55,55,53,75,57,37,50,41,39,1,-2.672727272727275,67.54545454545456
